mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
14448fd58129,Dandy Main Floor,Shasta NorthEast,Camp,edgecore_eap102,Shasta-AP-NOS Rel 2.2 build 21,908460,10.51,2,0.09424,0.075196,0.01416,30.63,69.37,1,4,7,6,20,149,80,0,0,auto,auto,unknown,20,80,unknown,-21.682728,1,1000,full
24fe9a0f481c,SA-AP-01-cta1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,501506,5.8,2,0.132815,0.158694,0.166995,42.74,57.26,1,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,19.317272,1,1000,full
24fe9a0f51b9,SA-AP-02-ctb1,Ducky's Legal Services,Ducky's Saratoga,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 22,585063,6.77,2,0.275395,0.248539,0.200198,45.73,54.27,2,0,0,0,0,0,0,0,0,auto,auto,unknown,20,80,unknown,-18.682728,1,1000,full
24fe9a0f5ae5,BasementAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,154011,1.78,5,0.295415,0.233402,0.198734,46.76,53.24,2,4,9,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-6.682728,1,1000,full
24fe9a0f5b55,FamilyRmAP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,153666,1.78,13,0.463386,0.318364,0.343267,45.58,54.42,2,4,9,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-35.682728,1,1000,full
24fe9a0f5c19,Garage AP,Tim,TRaceHome,cybertan_eww631-a1,Shasta-AP-NOS Rel 2.2 build 22,154473,1.79,11,0.428229,0.418952,0.372564,45.75,54.25,2,4,10,6,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-29.682728,1,1000,full
24fe9a0f6141,CyberTANWallDemo,Intello Labs,APtestingLab,cybertan_eww631-b1,Shasta-AP-NOS Rel 2.2 build 21,59337,0.69,5,0.30811,0.255863,0.203616,46.68,53.32,1,4,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,0.317272,1,1000,full
902d770c4e60,LabECS4150,Tim,TRaceHome,edgecore_ecs4150,3.2.57r.241,154514,1.79,-1,0.0018408203031867743,0.0023095703218132257,0.0019873047713190317,51.56,48.44,28,0,0,0,0,0,0,0,0,unknown,unknown,unknown,unknown,unknown,unknown,-13.682728,-1,-1,-1
903cb32d3044,EAP-101-Dev-1,Marek,Development,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,26051,0.3,1,0.045899,0.02295,0.001953,18.75,81.25,2,2,0,11,20,36,80,0,0,auto,auto,unknown,20,80,unknown,-17.682728,1,1000,full
903cb32d352b,Unit5,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1161682,13.45,1,0.1084,0.053223,0.010742,19.37,80.63,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-16.682728,1,1000,full
903cb36ae4d0,Unit6,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1161746,13.45,1,0.034668,0.021485,0,19.82,80.18,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-17.682728,1,100,full
903cb36ae615,Unit9,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1161796,13.45,1,0,0,0,19.3,80.7,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-59.682728,1,1000,full
903cb36c40bd,AP-40BD,Truminds-BUS,Default Venue,edgecore_eap101,Shasta-AP-NOS Rel 2.1 build 17,354371,4.1,2,0.000488,0.002441,0,18.57,81.43,1,2,0,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-11.682728,1,1000,full
903cb36c4108,Unit3,Dante,LBS Testbed,edgecore_eap101,Shasta-AP-NOS Rel 2.0 build 5,1161740,13.45,1,0,0,0,19.27,80.73,1,2,0,1,20,149,80,0,0,1,149,unknown,20,80,unknown,-21.682728,1,1000,full
