mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
d077ce1fd868,WAP036-RM-328-330,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,582060,6.74,2,0.042969,0.03418,0.001953,24.65,75.35,3,4,4,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-116.100862,1,1000,full
d077ce1fd888,WAP030-RM-313-315,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,580000,6.71,3,0.067872,0.049805,0.011231,24.43,75.57,3,4,11,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-159.100862,1,1000,full
d077ce1fd898,WAP014-RM-203,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422087,4.89,2,0.044923,0.025391,0.002441,23.06,76.94,3,4,4,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-140.100862,1,1000,full
d077ce1fd8bc,WAP007-Lobby,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422098,4.89,3,0.032715,0.03711,0,23.34,76.66,3,4,3,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-158.100862,1,1000,full
d077ce1fd8c4,WAP024-RM-235-237,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,579689,6.71,3,0.101564,0.070802,0.007324,24.93,75.07,3,4,2,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-160.100862,1,1000,full
d077ce1fd950,WAP035-RM-325-326,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,582321,6.74,4,0.100099,0.076661,0.063478,24.51,75.49,3,4,6,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-152.100862,1,1000,full
d077ce1fd954,WAP013-RM-136-139,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422116,4.89,2,0.109865,0.049805,0.014649,23.33,76.67,3,4,3,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-170.100862,1,1000,full
d077ce1fd980,WAP027-RM-303,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,579500,6.71,2,0.043946,0.041505,0.001953,22.56,77.44,3,4,3,1,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-121.100862,1,1000,full
d077ce1fd994,WAP025-RM-239-241,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,579530,6.71,2,0.021973,0.048341,0.000488,24.5,75.5,3,4,3,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-167.100862,1,1000,full
d077ce1fd9c8,WAP002-RM-102-103,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422108,4.89,3,0.175784,0.099611,0.075196,22.85,77.15,3,4,5,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-176.100862,1,1000,full
d077ce1fd9e4,WAP034-RM-324,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,581971,6.74,3,0.086915,0.078126,0.013672,24.28,75.72,3,4,2,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-175.100862,1,1000,full
d077ce1fd9ec,WAP032-RM-320-322,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,579339,6.71,3,0.032227,0.109865,0.0542,22.48,77.52,3,4,8,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-124.100862,1,1000,full
d077ce1fd9fc,WAP009-RM-121-123,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422070,4.89,3,0.077638,0.039063,0.004883,23.21,76.79,3,4,4,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-128.100862,1,1000,full
d077ce1fda54,WAP026-RM-242-244,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,579230,6.7,3,0,0.010742,0,24.85,75.15,3,4,0,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-157.100862,1,1000,full
d077ce1fdaa4,WAP039-RM-341-343,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,579244,6.7,3,0.020996,0.027832,0,24.31,75.69,3,4,0,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-181.100862,1,1000,full
d077ce1fdae4,WAP010-RM-125-127,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422111,4.89,3,0.084962,0.07715,0.013184,23.01,76.99,3,4,5,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-168.100862,1,1000,full
d077ce1fdaf4,WAP033-RM-301-323,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,579054,6.7,3,0,0.018555,0,24.87,75.13,3,4,3,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-149.100862,1,1000,full
d077ce1fdb48,WAP028-RM-305-307,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,578956,6.7,3,0.279789,0.100587,0.01709,24.97,75.03,3,4,4,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-173.100862,1,1000,full
d077ce1fdb50,WAP031-RM-317-319,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,578933,6.7,3,0.016602,0.041993,0.031739,24.39,75.61,3,4,6,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-156.100862,1,1000,full
d077ce1fdb78,WAP038-RM-336-338,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,578824,6.7,3,0.023438,0.027344,0,24.41,75.59,3,4,6,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-201.100862,1,1000,full
d077ce1fdbb0,WAP003-RM-104-105,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422088,4.89,2,0.158694,0.05713,0.011231,22.74,77.26,3,4,1,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-154.100862,1,1000,full
